Address_ID,Street,City,State,Zipcode,Created_On,Modified_On
68,2 Merchant Alley,Jersey City,New Jersey,7310,12/4/20,3/6/02
69,145 Mandrake Court,Bethlehem,Pennsylvania,18018,4/26/10,4/19/21
70,3189 Sauthoff Place,Tampa,Florida,33661,6/28/09,7/10/23
71,64521 Monterey Hill,Virginia Beach,Virginia,23454,11/28/04,9/9/19
72,646 Kipling Alley,Laredo,Texas,78044,12/29/02,6/21/21
73,2 Hansons Alley,Saint Louis,Missouri,63121,4/23/00,9/16/08
74,14 Declaration Place,Kansas City,Kansas,66160,5/9/03,3/21/16
75,5670 Ryan Lane,Bridgeport,Connecticut,6606,1/9/08,8/1/21
76,9240 Jay Terrace,East Saint Louis,Illinois,62205,9/26/11,10/24/06
77,55742 Spenser Avenue,Boise,Idaho,83711,1/1/16,10/26/10
78,36534 Bunker Hill Lane,Shreveport,Louisiana,71161,8/8/08,4/11/21
79,66 Reindahl Street,Birmingham,Alabama,35290,5/4/18,8/17/21
80,688 Arrowood Alley,Jeffersonville,Indiana,47134,7/18/13,5/28/17
81,81 Cambridge Plaza,Carson City,Nevada,89706,9/16/14,5/30/17
82,8697 Kedzie Place,Worcester,Massachusetts,1654,8/12/16,12/24/10
83,625 1st Way,Shreveport,Louisiana,71166,12/2/02,7/30/18
84,7089 Main Alley,Austin,Texas,78737,11/9/12,5/20/06
85,8 Sycamore Parkway,Staten Island,New York,10305,9/12/13,8/17/20
86,049 Old Gate Road,Huntington,West Virginia,25770,3/8/06,9/29/15
87,85200 West Drive,Santa Clara,California,95054,3/31/13,4/6/24
88,66 Menomonie Center,Sioux Falls,South Dakota,57198,8/27/22,7/22/01
89,66991 Garrison Way,Mesa,Arizona,85210,10/25/00,3/26/05
90,26516 Donald Court,Sacramento,California,95813,3/12/11,1/8/24
91,1 Eagle Crest Center,Augusta,Georgia,30911,8/26/02,7/31/10
92,2556 Daystar Pass,Toledo,Ohio,43666,6/6/02,1/27/25
93,0081 Manufacturers Trail,Saginaw,Michigan,48604,5/9/12,5/9/08
94,42136 Sunnyside Way,Denver,Colorado,80299,11/16/08,8/29/07
95,73966 Sherman Terrace,Worcester,Massachusetts,1605,9/25/10,9/19/20
96,577 Sommers Hill,Chandler,Arizona,85246,10/30/16,1/9/20
97,453 Ridgeview Plaza,Huntington,West Virginia,25775,4/10/21,11/7/11
98,97 Hagan Hill,Las Vegas,Nevada,89166,6/1/16,5/29/08
99,335 Starling Road,Nashville,Tennessee,37210,11/24/13,8/28/07
100,76 Glacier Hill Hill,Clearwater,Florida,34629,1/22/23,9/4/10
101,00 Warner Circle,Denver,Colorado,80217,12/9/17,3/17/24
102,7 Corry Pass,Herndon,Virginia,22070,7/15/01,10/16/10
103,79 Hermina Parkway,Charlotte,North Carolina,28289,4/28/16,5/14/06
104,338 Brown Parkway,New York City,New York,10034,1/30/03,2/5/19
105,14979 Blackbird Avenue,Miami,Florida,33142,10/16/21,9/21/08
106,1 Gina Crossing,Delray Beach,Florida,33448,8/10/15,4/7/09
107,48824 Judy Circle,Salt Lake City,Utah,84135,7/12/23,1/17/21
108,422 Myrtle Crossing,Washington,District of Columbia,20580,11/10/15,2/20/24
109,1 Coleman Pass,Fort Myers,Florida,33913,10/2/01,5/21/17
110,9691 High Crossing Lane,Saint Louis,Missouri,63167,6/3/21,9/16/11
111,10288 Kim Way,Troy,Michigan,48098,9/11/11,12/1/22
112,4 Oriole Pass,Panama City,Florida,32412,5/28/20,3/26/07
113,047 Village Green Pass,Hollywood,Florida,33028,1/4/05,6/20/01
114,57 Dapin Court,Boise,Idaho,83705,6/28/02,3/2/20
115,5 Sunfield Trail,White Plains,New York,10633,4/10/12,3/11/03
116,8563 Bartelt Circle,New Brunswick,New Jersey,8922,7/17/13,3/28/15
117,35981 Marcy Park,New York City,New York,10060,12/27/21,5/1/24
118,35611 Kropf Terrace,Mesquite,Texas,75185,4/15/02,8/28/12
119,717 Kedzie Alley,Crawfordsville,Indiana,47937,7/22/04,7/25/04
120,78523 Monterey Alley,Albuquerque,New Mexico,87201,3/6/06,11/22/22
121,8850 Red Cloud Alley,Des Moines,Iowa,50369,6/14/01,5/20/09
122,1472 Coleman Junction,El Paso,Texas,79945,9/13/08,10/24/05
123,6 Nancy Terrace,Charlotte,North Carolina,28278,7/30/08,9/26/22
124,5 Vernon Parkway,Phoenix,Arizona,85035,10/24/20,1/4/16
125,67499 Prentice Way,Hot Springs National Park,Arkansas,71914,10/12/12,11/3/19
126,97755 Division Lane,Greensboro,North Carolina,27409,2/28/23,12/24/15
127,04 Eagan Avenue,Buffalo,New York,14225,1/14/14,2/26/07
128,35 Briar Crest Junction,Oakland,California,94622,4/8/13,9/28/09
129,7904 Crest Line Lane,Colorado Springs,Colorado,80945,3/13/10,11/7/23
130,9467 Basil Trail,Woburn,Massachusetts,1813,2/22/23,3/29/04
131,071 Clarendon Way,Jacksonville,Florida,32204,9/16/08,5/7/07
132,421 Roth Road,Vero Beach,Florida,32964,5/11/12,9/3/11
133,1 Oriole Court,Little Rock,Arkansas,72204,3/24/08,10/17/19
134,728 Dunning Way,Albuquerque,New Mexico,87140,2/7/13,2/16/15
135,9626 Paget Parkway,Sacramento,California,95838,11/26/10,6/2/02
136,7 Helena Road,Washington,District of Columbia,20062,2/6/24,5/5/13
137,9 Waubesa Point,Nashville,Tennessee,37228,3/17/16,6/17/06
138,702 Sheridan Lane,Irving,Texas,75037,10/9/01,6/15/18
139,8835 Lerdahl Trail,Colorado Springs,Colorado,80951,8/15/20,1/24/03
140,2 Manitowish Plaza,Falls Church,Virginia,22047,3/17/16,3/13/04
141,120 Bowman Lane,Fresno,California,93726,9/14/21,9/28/08
142,36898 Green Parkway,Boston,Massachusetts,2216,5/24/15,8/21/24
143,36 Anniversary Circle,Charlotte,North Carolina,28205,12/13/12,4/25/19
144,23868 Forster Court,Atlanta,Georgia,30328,2/12/09,3/7/00
145,8035 Rigney Lane,Salt Lake City,Utah,84199,9/4/21,12/30/17
146,7 Debra Drive,Corpus Christi,Texas,78405,4/10/00,4/10/09
147,99 Larry Junction,Monroe,Louisiana,71213,2/24/03,9/1/03
148,5721 Sommers Pass,Columbus,Ohio,43231,5/20/04,8/24/11
149,0 Cody Place,Burbank,California,91520,2/28/04,2/23/14
150,8 Jackson Park,Buffalo,New York,14225,6/11/17,8/26/12
151,8927 Artisan Hill,Johnstown,Pennsylvania,15906,1/25/23,9/9/17
152,448 Pearson Alley,Spartanburg,South Carolina,29319,9/18/21,2/14/17
153,1 Laurel Junction,Albany,New York,12227,2/19/18,4/3/18
154,1 Buhler Circle,Staten Island,New York,10310,6/7/14,11/10/01
155,54425 Prairie Rose Trail,Decatur,Georgia,30089,2/17/15,7/16/22
156,718 Burrows Circle,Kansas City,Missouri,64199,12/14/21,6/20/16
157,53224 Green Drive,Washington,District of Columbia,20310,4/11/02,3/2/11
158,003 Memorial Pass,Little Rock,Arkansas,72231,3/13/24,7/26/18
159,8 Muir Alley,San Jose,California,95133,10/29/08,2/19/09
160,29 8th Crossing,Tulsa,Oklahoma,74116,7/14/22,7/6/19
161,7670 Knutson Plaza,Los Angeles,California,90020,9/19/02,10/26/16
162,6686 Tennyson Lane,New York City,New York,10014,9/19/19,10/21/23
163,17 Jenifer Parkway,Washington,District of Columbia,20220,1/7/24,3/29/02
164,88 Brentwood Road,Providence,Rhode Island,2905,10/21/15,11/9/07
165,3545 Vidon Park,Washington,District of Columbia,20392,5/6/13,12/9/08
166,470 Steensland Hill,Austin,Texas,78749,4/16/16,2/19/02
167,1 Holy Cross Junction,Lincoln,Nebraska,68505,7/30/08,8/14/06
168,2 Hanson Court,New York City,New York,10120,1/15/23,3/17/16
169,76 Del Mar Terrace,Hollywood,Florida,33028,7/26/12,10/27/24
170,973 Hollow Ridge Crossing,Helena,Montana,59623,8/25/01,7/10/03
171,67 Montana Trail,Tampa,Florida,33694,12/16/07,3/6/23
172,045 Forest Dale Plaza,Lake Charles,Louisiana,70607,3/31/19,12/12/24
173,57 Green Court,Saint Petersburg,Florida,33731,5/15/02,9/26/07
174,99 Arrowood Pass,Buffalo,New York,14269,7/28/23,3/15/23
175,75 Di Loreto Lane,Omaha,Nebraska,68164,1/1/06,1/14/20
176,18 Shelley Terrace,Las Vegas,Nevada,89105,12/9/18,10/25/08
177,8 Esker Trail,Gainesville,Florida,32610,9/24/24,8/28/15
178,5 Melody Hill,Honolulu,Hawaii,96845,9/8/11,6/27/12
179,03 Nelson Park,Newark,New Jersey,7104,5/5/22,5/6/15
180,263 Novick Center,Jacksonville,Florida,32220,12/21/02,6/2/08
181,33021 Summerview Circle,Young America,Minnesota,55564,12/21/24,9/19/07
182,044 Lakeland Place,Concord,California,94522,1/26/15,8/30/04
183,4404 Forest Dale Lane,Champaign,Illinois,61825,9/7/01,8/30/09
184,0 Hintze Hill,Orlando,Florida,32825,11/25/21,12/8/20
185,1850 Mallard Alley,Santa Ana,California,92705,9/11/10,9/30/05
186,87467 Starling Avenue,Colorado Springs,Colorado,80995,2/29/16,7/26/12
187,68 Mcguire Place,Cleveland,Ohio,44105,1/17/18,10/8/07
188,1958 Jenifer Circle,Gaithersburg,Maryland,20883,3/30/16,10/27/00
189,6 Mosinee Trail,Boston,Massachusetts,2104,11/5/02,5/26/23
190,07 Hanover Point,Roanoke,Virginia,24004,7/22/19,5/28/00
191,321 Erie Terrace,Duluth,Minnesota,55811,10/20/22,6/13/11
192,7079 Amoth Junction,Alexandria,Louisiana,71307,9/26/19,8/31/15
193,60143 Shopko Place,Tulsa,Oklahoma,74103,12/16/07,9/12/17
194,3 Kenwood Trail,New Orleans,Louisiana,70116,5/8/06,1/9/08
195,4 Melvin Center,Atlanta,Georgia,31119,9/26/22,8/24/00
196,22 Barby Plaza,San Francisco,California,94164,3/30/11,1/27/18
197,472 Beilfuss Court,Kalamazoo,Michigan,49006,8/3/12,4/16/12
198,5980 Chive Plaza,Las Cruces,New Mexico,88006,12/23/14,9/4/00
199,71 Ridge Oak Way,Saint Louis,Missouri,63150,8/8/08,5/24/12
200,011 Spenser Avenue,San Diego,California,92196,4/14/15,4/4/14
201,8143 Warner Street,Dallas,Texas,75287,11/25/20,6/24/23
202,5476 West Point,Austin,Texas,78726,3/28/07,2/1/12
203,8540 Pepper Wood Circle,Austin,Texas,78754,11/3/05,4/14/24
204,5 Porter Parkway,Washington,District of Columbia,20535,2/1/04,6/15/22
205,23474 Doe Crossing Way,South Lake Tahoe,California,96154,6/3/16,11/4/19
206,3 Lighthouse Bay Pass,Augusta,Georgia,30905,11/17/04,3/25/03
207,1907 Lakewood Gardens Circle,Topeka,Kansas,66667,4/12/08,10/21/19
208,7 Old Gate Center,Detroit,Michigan,48206,3/14/00,8/2/17
209,90 Sullivan Alley,Lincoln,Nebraska,68517,11/27/01,3/20/04
210,00023 Dryden Way,Paterson,New Jersey,7544,5/24/05,2/22/06
211,6 Chive Terrace,Chicago,Illinois,60657,6/12/05,9/4/01
212,5 Eliot Crossing,Denver,Colorado,80255,11/30/07,7/8/13
213,5147 Shelley Lane,Oklahoma City,Oklahoma,73119,1/13/17,4/12/15
214,7539 Waywood Crossing,Santa Fe,New Mexico,87592,3/25/21,11/1/22
215,791 Warbler Road,Salt Lake City,Utah,84135,3/12/12,6/9/13
216,8336 Crowley Hill,Panama City,Florida,32412,10/28/05,3/25/07
217,9 Lyons Hill,Alexandria,Louisiana,71307,12/7/00,3/13/04
218,95 Scofield Place,Laredo,Texas,78044,9/2/21,8/15/21
219,74754 Orin Center,Stamford,Connecticut,6912,11/7/07,7/2/03
220,082 Hoepker Road,New York City,New York,10249,11/19/18,6/4/14
221,5 Tomscot Pass,Pittsburgh,Pennsylvania,15215,10/29/04,7/12/14
222,58363 Sycamore Trail,Nashville,Tennessee,37205,11/21/19,2/25/17
223,83 Nevada Drive,Toledo,Ohio,43605,1/5/17,6/7/18
224,6 School Hill,Albany,New York,12205,8/1/03,7/25/05
225,04 Emmet Park,Arlington,Virginia,22225,5/27/01,10/4/19
226,0 Granby Terrace,Humble,Texas,77346,8/10/11,4/2/18
227,46137 Manitowish Trail,El Paso,Texas,88569,3/15/18,7/13/16
228,934 Eagle Crest Center,Wichita Falls,Texas,76310,7/21/14,8/24/12
229,4 Fuller Avenue,Springfield,Illinois,62756,8/15/12,4/26/09
230,9088 Calypso Parkway,Atlanta,Georgia,30358,11/7/00,6/8/06
231,33919 Calypso Lane,Lynchburg,Virginia,24515,3/16/00,6/27/21
232,15 Bultman Hill,Carol Stream,Illinois,60351,10/29/11,10/3/10
233,77240 Weeping Birch Terrace,Tacoma,Washington,98442,5/4/03,10/28/05
234,583 Vernon Terrace,Lincoln,Nebraska,68510,6/20/22,8/13/14
235,98 Packers Crossing,Mobile,Alabama,36689,11/29/08,3/4/23
236,81986 Garrison Road,Independence,Missouri,64054,2/10/11,10/15/16
237,7364 Memorial Drive,Fullerton,California,92835,11/5/10,5/11/21
238,284 Manley Trail,Shawnee Mission,Kansas,66276,7/16/05,5/21/24
239,6 Welch Circle,Indianapolis,Indiana,46202,2/15/15,4/9/22
240,57 Ramsey Way,Pensacola,Florida,32575,4/8/21,3/6/19
241,43 Dawn Court,Brea,California,92822,2/28/03,11/28/14
242,0130 Ramsey Junction,Shawnee Mission,Kansas,66220,8/5/16,8/25/04
243,5 Bluejay Court,Kingsport,Tennessee,37665,11/8/10,6/1/24
244,53647 Charing Cross Terrace,Oxnard,California,93034,2/20/14,4/11/06
245,1 Bluestem Trail,Knoxville,Tennessee,37995,1/11/10,5/14/06
246,94152 Walton Alley,Los Angeles,California,90094,9/22/22,4/22/24
247,5 Del Mar Alley,Dayton,Ohio,45490,2/13/10,7/16/05
248,58 Hauk Crossing,Delray Beach,Florida,33448,1/20/04,12/4/17
249,3548 Rockefeller Plaza,Washington,District of Columbia,20530,1/30/04,2/14/10
250,39779 Comanche Hill,Apache Junction,Arizona,85219,12/11/00,6/17/24
251,0825 Village Green Trail,Washington,District of Columbia,20409,7/17/23,8/4/11
252,4 Straubel Center,Corpus Christi,Texas,78475,8/3/17,6/19/22
253,425 Crest Line Circle,Lima,Ohio,45807,3/22/09,10/23/13
254,07024 Eagle Crest Plaza,Colorado Springs,Colorado,80910,6/27/20,4/25/07
255,3 5th Circle,Inglewood,California,90398,7/21/05,1/6/01
256,0395 Oriole Park,New York City,New York,10105,11/10/11,5/19/15
257,53 Bluejay Terrace,Washington,District of Columbia,20535,7/5/10,2/17/18
258,88 Fulton Point,Bismarck,North Dakota,58505,10/20/21,5/13/04
259,93046 Fordem Drive,Lexington,Kentucky,40591,7/8/00,8/12/01
260,251 Waywood Center,Tallahassee,Florida,32309,8/1/13,1/27/04
261,94818 Becker Point,Sacramento,California,95828,6/12/21,3/12/23
262,311 Westerfield Junction,Philadelphia,Pennsylvania,19109,5/11/09,8/10/22
263,08 Oriole Plaza,Lexington,Kentucky,40591,12/17/19,11/2/20
264,40 Hayes Avenue,Albany,New York,12247,4/13/18,6/3/23
265,22 Graedel Hill,North Port,Florida,34290,7/4/11,9/8/03
266,3 Oak Valley Terrace,Dayton,Ohio,45454,3/17/24,7/24/14
267,77 Montana Plaza,Cleveland,Ohio,44105,4/26/07,12/18/15
268,90759 Briar Crest Trail,Port Charlotte,Florida,33954,1/27/08,6/7/24
269,3 Iowa Pass,Memphis,Tennessee,38119,12/15/18,11/25/01
270,52335 Prairie Rose Plaza,Washington,District of Columbia,20238,3/22/04,5/16/15
271,583 Brentwood Circle,Milwaukee,Wisconsin,53263,7/23/02,1/23/17
272,4 Old Gate Alley,Brooklyn,New York,11225,11/5/11,1/29/15
273,5 Dottie Terrace,Detroit,Michigan,48267,2/3/16,8/10/03
274,85 Sloan Avenue,Brooklyn,New York,11254,8/13/15,4/29/01
275,2 Little Fleur Parkway,Ogden,Utah,84403,2/20/15,4/22/11
276,0127 Forest Run Point,Austin,Texas,78744,11/29/14,12/23/11
277,0 Kingsford Pass,Newark,Delaware,19725,2/13/05,11/17/14
278,6 Hoard Parkway,Maple Plain,Minnesota,55579,11/24/05,4/6/09
279,173 Dexter Center,Pueblo,Colorado,81015,12/11/20,10/22/16
280,51 Carioca Crossing,Arlington,Virginia,22244,5/7/14,3/8/23
281,162 Golden Leaf Point,Tulsa,Oklahoma,74156,5/2/17,1/5/18
282,2 Prairieview Terrace,Washington,District of Columbia,20238,7/21/04,8/4/09
283,9 4th Parkway,Murfreesboro,Tennessee,37131,8/4/11,6/25/11
284,98 Mcbride Plaza,Springfield,Illinois,62756,5/3/22,3/14/14
285,70480 Pawling Crossing,Bridgeport,Connecticut,6606,10/6/11,2/27/23
286,41370 Oxford Hill,Tacoma,Washington,98424,12/1/11,10/25/10
287,249 Michigan Lane,Birmingham,Alabama,35215,1/22/14,3/24/04
288,5 Corry Hill,Provo,Utah,84605,9/3/04,7/9/24
289,5 Summit Alley,New Castle,Pennsylvania,16107,3/10/02,8/14/03
290,143 Sheridan Place,Birmingham,Alabama,35210,9/13/19,5/1/21
291,4 Beilfuss Parkway,Paterson,New Jersey,7544,8/2/11,1/12/10
292,433 Clemons Plaza,Clearwater,Florida,34629,9/27/24,10/25/23
293,5470 Old Shore Court,Milwaukee,Wisconsin,53225,4/13/09,12/24/15
294,9161 Hermina Way,New York City,New York,10120,3/12/24,3/18/08
295,16220 Dexter Lane,San Bernardino,California,92415,10/19/10,5/24/03
296,9368 Corry Hill,Alexandria,Virginia,22309,8/12/09,11/16/11
297,6 Raven Circle,Boulder,Colorado,80310,4/13/14,11/1/10
298,8930 Onsgard Junction,Houston,Texas,77025,1/19/08,8/27/13
299,22466 Brown Avenue,Columbus,Ohio,43268,3/24/04,2/16/10
300,644 Green Place,Chattanooga,Tennessee,37410,12/18/10,7/1/05
301,1 3rd Center,Washington,District of Columbia,20557,10/27/08,6/4/23
302,726 Sundown Terrace,Santa Barbara,California,93106,5/4/13,1/6/19
303,6 Prentice Road,Pompano Beach,Florida,33069,5/30/22,8/4/18
304,8 Knutson Parkway,Cincinnati,Ohio,45233,5/17/13,2/3/16
305,7 Golf Circle,El Paso,Texas,79989,12/20/16,10/11/11
306,37348 Debra Crossing,Topeka,Kansas,66611,4/18/17,1/26/18
307,72270 Katie Junction,Hartford,Connecticut,6152,1/1/03,11/25/16
308,9511 Bartelt Place,Merrifield,Virginia,22119,6/21/06,3/26/01
309,021 Rigney Terrace,Wilmington,Delaware,19892,1/31/24,3/6/16
310,1306 Lerdahl Drive,Prescott,Arizona,86305,11/27/05,5/20/07
311,190 Briar Crest Lane,Bismarck,North Dakota,58505,11/27/16,6/29/20
312,98 Center Terrace,Orlando,Florida,32803,6/4/18,12/6/18
313,17 Lakeland Lane,Miami,Florida,33124,6/22/22,12/19/11
314,689 Mandrake Drive,Boca Raton,Florida,33487,11/11/19,7/29/08
315,7 East Lane,Jacksonville,Florida,32236,6/19/06,4/20/18
316,9 Fieldstone Terrace,Detroit,Michigan,48267,9/12/15,10/11/07
317,9712 Holmberg Place,Charleston,South Carolina,29416,2/18/10,4/16/04
318,2591 Colorado Way,Wilmington,Delaware,19897,4/23/01,5/7/06
319,5 Elmside Pass,Ventura,California,93005,7/17/10,3/19/17
320,8014 Boyd Place,Alexandria,Virginia,22301,4/30/01,10/17/05
321,832 Fieldstone Place,Denver,Colorado,80209,2/15/23,9/13/14
322,0 New Castle Alley,Macon,Georgia,31205,6/5/02,7/25/22
323,3086 Superior Trail,Amarillo,Texas,79118,7/25/18,7/4/00
324,4023 Garrison Trail,Bethesda,Maryland,20816,11/16/18,1/11/16
325,6070 Ridge Oak Hill,Philadelphia,Pennsylvania,19125,3/19/10,6/16/14
326,425 Stang Lane,San Jose,California,95138,1/15/15,4/6/05
327,4 Rusk Park,New York City,New York,10090,5/15/15,5/31/04
328,395 Kings Avenue,Seattle,Washington,98104,8/2/02,3/6/08
329,2 New Castle Pass,San Diego,California,92176,11/16/18,5/31/19
330,06 Lillian Junction,Anniston,Alabama,36205,11/15/10,4/24/00
331,7 Bultman Alley,Anniston,Alabama,36205,8/19/01,11/6/20
332,8650 Michigan Drive,Fairfax,Virginia,22036,6/11/03,9/29/05
333,69750 Tennessee Terrace,New York City,New York,10105,2/10/03,6/6/16
334,42 Arkansas Crossing,Davenport,Iowa,52809,12/3/18,8/7/11
335,0 Vermont Alley,Brooklyn,New York,11254,6/24/06,10/29/24
336,24 Kingsford Hill,Fort Lauderdale,Florida,33355,4/27/07,6/22/02
337,270 Farragut Road,Fresno,California,93715,6/6/18,8/11/11
338,60230 Dawn Pass,Washington,District of Columbia,20557,12/9/05,8/16/08
339,3 Crest Line Terrace,Shawnee Mission,Kansas,66205,11/23/06,10/4/16
340,600 Fulton Plaza,Columbus,Ohio,43240,10/9/15,4/20/09
341,19823 Sage Circle,Kingsport,Tennessee,37665,1/25/18,3/4/12
342,0 Jenifer Court,San Diego,California,92170,11/21/00,5/23/24
343,68 Melby Trail,Oklahoma City,Oklahoma,73152,3/30/14,9/3/05
344,4 Melrose Drive,Colorado Springs,Colorado,80920,8/6/01,8/28/07
345,80 Kingsford Terrace,New York City,New York,10292,1/6/23,12/29/20
346,22 Debs Plaza,Pensacola,Florida,32595,10/30/02,1/20/12
347,797 Colorado Hill,Arlington,Virginia,22234,6/27/14,5/2/01
348,4 La Follette Junction,Brooklyn,New York,11254,5/17/06,10/26/01
349,539 Montana Pass,Columbia,Missouri,65218,1/26/17,5/16/17
350,53840 Clove Place,Memphis,Tennessee,38114,7/8/04,12/24/01
351,51280 Continental Park,Washington,District of Columbia,20599,12/9/18,6/17/19
352,44161 Anzinger Junction,Athens,Georgia,30610,5/25/05,1/26/02
353,26088 Village Junction,Boca Raton,Florida,33432,5/11/09,12/22/20
354,739 Prentice Way,Los Angeles,California,90005,1/24/19,3/28/09
355,62674 Sutherland Terrace,Columbus,Ohio,43284,2/5/03,1/30/14
356,02 Riverside Junction,Wichita,Kansas,67236,4/11/11,10/3/00
357,16391 Troy Terrace,Montgomery,Alabama,36195,8/22/22,5/30/05
358,481 American Center,Washington,District of Columbia,20238,1/25/06,9/21/02
359,826 Kings Alley,Salt Lake City,Utah,84110,6/25/22,2/11/25
360,2341 Carberry Crossing,Greenville,South Carolina,29615,5/1/14,1/7/20
361,089 Lindbergh Way,Sacramento,California,95865,8/19/11,10/14/16
362,2108 Merrick Way,Colorado Springs,Colorado,80905,4/30/00,9/21/06
363,3740 Kingsford Trail,El Paso,Texas,88530,10/25/13,3/31/18
364,71268 Longview Drive,Rochester,New York,14619,5/17/19,10/15/20
365,1 Alpine Parkway,Cincinnati,Ohio,45233,6/30/07,3/10/24
366,7699 Lukken Park,Norwalk,Connecticut,6854,2/24/13,2/28/10
